"Name","Live Bytes","Live Objects"
"java.lang.reflect.Field","31,968 B (0.1%)","444 (0%)"
"sun.reflect.annotation.AnnotationInvocationHandler","31,776 B (0.1%)","1,324 (0.1%)"
"org.springframework.core.annotation.TypeMappedAnnotation","31,488 B (0.1%)","492 (0%)"
"sun.reflect.generics.tree.TypeArgument[]","30,800 B (0.1%)","1,656 (0.1%)"
"java.io.ObjectInputStream$BlockDataInputStream","30,520 B (0.1%)","545 (0%)"
"org.springframework.beans.factory.support.RootBeanDefinition","29,920 B (0.1%)","170 (0%)"
"java.lang.ref.SoftReference[]","29,784 B (0.1%)","438 (0%)"
"java.lang.Package","29,280 B (0.1%)","915 (0.1%)"
"java.security.ProtectionDomain","28,880 B (0.1%)","722 (0.1%)"
"java.rmi.server.UID","28,832 B (0.1%)","901 (0.1%)"
"java.util.Hashtable","28,464 B (0.1%)","593 (0.1%)"
"org.h2.table.Column","28,424 B (0.1%)","323 (0%)"
"java.lang.ref.ReferenceQueue$Lock","28,224 B (0.1%)","1,764 (0.2%)"
"java.util.concurrent.CopyOnWriteArrayList","28,200 B (0.1%)","1,175 (0.1%)"
"java.util.LinkedHashMap$LinkedKeySet","27,904 B (0.1%)","1,744 (0.2%)"
"java.util.LinkedHashSet","26,080 B (0%)","1,630 (0.1%)"
"sun.reflect.generics.tree.ClassTypeSignature","25,872 B (0%)","1,617 (0.1%)"
"java.security.CodeSource","25,840 B (0%)","646 (0.1%)"
"org.thymeleaf.engine.Text","25,536 B (0%)","456 (0%)"
"sun.util.locale.BaseLocale","25,376 B (0%)","793 (0.1%)"
"sun.util.locale.BaseLocale$Key","25,376 B (0%)","793 (0.1%)"
"boolean[]","24,936 B (0%)","388 (0%)"
"java.util.LinkedList$Node","24,552 B (0%)","1,023 (0.1%)"
"java.util.concurrent.atomic.AtomicInteger","24,352 B (0%)","1,522 (0.1%)"
"java.lang.Class$AnnotationData","24,072 B (0%)","1,003 (0.1%)"
"java.util.LinkedList","23,840 B (0%)","745 (0.1%)"
"java.lang.ref.WeakReference","23,136 B (0%)","723 (0.1%)"
"java.util.HashMap$ValueIterator","23,080 B (0%)","577 (0.1%)"
"java.io.ObjectStreamField","22,600 B (0%)","565 (0%)"
"java.nio.HeapByteBuffer","22,464 B (0%)","468 (0%)"
"java.lang.reflect.Type[]","22,120 B (0%)","930 (0.1%)"
"java.util.HashSet","21,824 B (0%)","1,364 (0.1%)"
"java.lang.invoke.LambdaForm$NamedFunction","21,568 B (0%)","674 (0.1%)"
"java.net.URL","20,672 B (0%)","323 (0%)"
"java.lang.reflect.Method[]","19,480 B (0%)","319 (0%)"
"jdk.internal.reflect.DelegatingClassLoader","19,360 B (0%)","220 (0%)"
"java.nio.StringCharBuffer","18,536 B (0%)","331 (0%)"
"sun.rmi.transport.StreamRemoteCall","17,840 B (0%)","446 (0%)"
"java.io.ObjectOutputStream$BlockDataOutputStream","17,840 B (0%)","446 (0%)"
"org.thymeleaf.engine.HTMLAttributeName","17,800 B (0%)","445 (0%)"
"java.util.Vector","17,728 B (0%)","554 (0%)"
"java.io.DataInputStream","17,632 B (0%)","551 (0%)"
"java.io.ObjectInputStream$PeekInputStream","17,440 B (0%)","545 (0%)"
"java.io.ObjectInputStream$HandleTable","17,440 B (0%)","545 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot","16,152 B (0%)","673 (0.1%)"
"javax.management.ObjectName$Property","15,672 B (0%)","653 (0.1%)"
"java.io.ObjectInputStream$FieldValues","15,456 B (0%)","644 (0.1%)"
"java.lang.invoke.MethodTypeForm","14,952 B (0%)","267 (0%)"
"java.lang.invoke.LambdaForm$Name[]","14,624 B (0%)","255 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot[]","14,280 B (0%)","594 (0.1%)"
"sun.rmi.transport.Transport$1","14,272 B (0%)","446 (0%)"
"sun.rmi.transport.Transport$$Lambda$295.0x0000000100337840","14,256 B (0%)","891 (0.1%)"
"java.util.LinkedHashMap$LinkedValues","14,176 B (0%)","886 (0.1%)"
"javax.management.ObjectName","14,080 B (0%)","440 (0%)"
"java.lang.invoke.DirectMethodHandle$Accessor","14,000 B (0%)","350 (0%)"
"org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog","13,920 B (0%)","580 (0.1%)"
"java.io.ObjectInputStream$FieldValues[]","13,848 B (0%)","577 (0.1%)"
"org.springframework.core.MethodParameter","13,824 B (0%)","216 (0%)"
"java.lang.management.ThreadInfo[]","13,328 B (0%)","98 (0%)"
"sun.reflect.generics.repository.ClassRepository","13,248 B (0%)","414 (0%)"
"java.util.WeakHashMap$Entry[]","13,152 B (0%)","148 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_L","12,736 B (0%)","398 (0%)"
"org.thymeleaf.engine.OpenElementTag","12,480 B (0%)","260 (0%)"
"org.thymeleaf.util.ProcessorConfigurationUtils$ElementTagProcessorWrapper","12,440 B (0%)","311 (0%)"
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl","12,336 B (0%)","514 (0%)"
"java.util.RegularEnumSet","12,224 B (0%)","382 (0%)"
"sun.reflect.generics.factory.CoreReflectionFactory","12,000 B (0%)","500 (0%)"
"java.lang.invoke.LambdaForm","12,000 B (0%)","250 (0%)"
"java.lang.String[][]","11,688 B (0%)","104 (0%)"
"java.security.Principal[]","11,552 B (0%)","722 (0.1%)"
"java.security.ProtectionDomain$Key","11,552 B (0%)","722 (0.1%)"
"java.lang.reflect.Parameter","11,440 B (0%)","286 (0%)"
"java.util.Collections$UnmodifiableSet","11,344 B (0%)","709 (0.1%)"
"java.util.Collections$UnmodifiableMap","11,072 B (0%)","346 (0%)"
"java.lang.Class$ReflectionData","11,008 B (0%)","172 (0%)"
"jdk.internal.math.FDBigInteger","10,912 B (0%)","341 (0%)"
"java.util.jar.JarFile$1","10,880 B (0%)","680 (0.1%)"
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef","10,848 B (0%)","226 (0%)"
"java.rmi.server.ObjID","10,800 B (0%)","450 (0%)"
"sun.rmi.transport.ObjectEndpoint","10,776 B (0%)","449 (0%)"
"java.io.ObjectOutputStream$ReplaceTable","10,704 B (0%)","446 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$PrivilegedOperation","10,680 B (0%)","445 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","10,624 B (0%)","332 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping","10,584 B (0%)","147 (0%)"
"java.util.Hashtable$Entry","10,464 B (0%)","327 (0%)"
"org.thymeleaf.engine.CloseElementTag","10,368 B (0%)","216 (0%)"
"org.thymeleaf.engine.Attribute","10,176 B (0%)","212 (0%)"
"sun.reflect.generics.scope.ClassScope","10,128 B (0%)","422 (0%)"
"jdk.internal.math.FloatingDecimal$ASCIIToBinaryBuffer","10,048 B (0%)","314 (0%)"
"sun.reflect.generics.tree.ClassSignature","9,936 B (0%)","414 (0%)"
"java.lang.invoke.DirectMethodHandle$Special","9,880 B (0%)","247 (0%)"
"java.lang.Thread[]","9,824 B (0%)","75 (0%)"
"org.springframework.core.convert.converter.GenericConverter$ConvertiblePair","9,816 B (0%)","409 (0%)"
"org.h2.engine.Session","9,768 B (0%)","33 (0%)"
"org.thymeleaf.processor.element.MatchingAttributeName","9,664 B (0%)","302 (0%)"
"jdk.internal.reflect.NativeConstructorAccessorImpl","9,624 B (0%)","401 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader","9,504 B (0%)","108 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper","9,504 B (0%)","108 (0%)"
